date,Account,sentiment_category,daily_pnl,median_position_size,trade_count,win_rate,long_ratio,sentiment_value,estimated_volume,pnl_per_dollar,cluster,archetype,profit_binary,target_next_day_profit
2025-01-17,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,4493.232479,82.1,17,1.0,0.0,75.0,1395.6999999999998,3.2193397427814006,2,The Gamblers,1,1.0
2025-01-18,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1047.030992,69.97,39,0.717948717948718,0.2564102564102564,77.0,2728.83,0.38369227544405476,2,The Gamblers,1,1.0
2025-01-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,4842.054317,405.47,124,0.6451612903225806,0.3467741935483871,77.0,50278.280000000006,0.09630509072704953,2,The Gamblers,1,1.0
2025-01-24,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1693.493165,1399.8,339,0.584070796460177,0.415929203539823,75.0,474532.2,0.0035687634369174527,2,The Gamblers,1,1.0
2025-01-25,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,4221.156399,598.0799999999999,54,0.07407407407407407,0.9259259259259259,75.0,32296.319999999996,0.13070084761979076,0,The Whales,1,0.0
2025-01-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,0.0,1259.77,44,0.0,1.0,71.0,55429.88,0.0,0,The Whales,0,1.0
2025-01-28,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,6899.2458320000005,605.085,56,1.0,0.0,72.0,33884.76,0.20360911017224262,2,The Gamblers,1,0.0
2025-01-29,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,0.0,1631.565,46,0.0,1.0,72.0,75051.99,0.0,0,The Whales,0,1.0
2025-01-30,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,7372.485101,839.45,55,1.0,0.0,70.0,46169.75,0.15968215337964795,2,The Gamblers,1,1.0
2025-02-01,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1162.002541,820.42,78,0.32051282051282054,0.6794871794871795,68.0,63992.759999999995,0.018158343865774817,0,The Whales,1,1.0
2025-02-02,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,6352.452613,652.96,517,0.4506769825918762,0.5222437137330754,60.0,337580.32,0.018817603505441313,2,The Gamblers,1,0.0
2025-02-11,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,-12346.990829,27.465,124,0.0,0.0,47.0,3405.66,-3.62543261188727,0,The Whales,0,1.0
2025-02-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,355.5854,2593.64,159,0.7987421383647799,0.1949685534591195,46.0,412388.75999999995,0.0008622577395174399,2,The Gamblers,1,1.0
2025-02-24,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,1129.8489260000001,749.985,160,0.325,0.675,49.0,119997.6,0.009415596028587239,0,The Whales,1,0.0
2025-02-25,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-6820.76955,82910.81,1,0.0,0.0,25.0,82910.81,-0.08226634801903394,0,The Whales,0,0.0
2025-02-28,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,0.0,1406.56,52,0.0,1.0,16.0,73141.12,0.0,0,The Whales,0,1.0
2025-03-03,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2480.902379,406.16499999999996,110,0.45454545454545453,0.5454545454545454,33.0,44678.149999999994,0.055528314825031934,2,The Gamblers,1,0.0
2025-03-04,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-3169.3554679999997,500.05,65,0.0,0.8461538461538461,15.0,32503.25,-0.0975088788967257,0,The Whales,0,0.0
2025-03-07,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,0.0,1087.51,37,0.0,1.0,34.0,40237.87,0.0,0,The Whales,0,1.0
2025-03-08,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2099.019688,537.51,47,1.0,0.0,28.0,25262.97,0.08308681394151202,2,The Gamblers,1,1.0
2025-03-09,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,656.540742,667.83,65,0.8769230769230769,0.12307692307692308,27.0,43408.950000000004,0.015124547863977359,2,The Gamblers,1,0.0
2025-03-10,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-1065.797583,868.55,53,0.9622641509433962,0.018867924528301886,20.0,46033.149999999994,-0.023152827538415254,2,The Gamblers,0,1.0
2025-03-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,1591.753271,473.42,53,0.9811320754716981,0.018867924528301886,34.0,25091.260000000002,0.06343855473977791,2,The Gamblers,1,0.0
2025-03-13,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,-2315.377191,1016.0,27,0.0,0.6296296296296297,45.0,27432.0,-0.08440424289151356,0,The Whales,0,0.0
2025-03-28,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,0.0,641.36,42,0.0,1.0,44.0,26937.12,0.0,0,The Whales,0,0.0
2025-03-29,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-5018.466447,199.95,97,0.0,0.0,26.0,19395.149999999998,-0.25874852460537817,0,The Whales,0,1.0
2025-03-31,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,716.143949,311.7,155,0.535483870967742,0.4645161290322581,34.0,48313.5,0.01482285384002401,2,The Gamblers,1,0.0
2025-04-03,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,0.0,54768.6,1,0.0,1.0,25.0,54768.6,0.0,0,The Whales,0,0.0
2025-04-15,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,0.0,16.37,1,0.0,1.0,38.0,16.37,0.0,0,The Whales,0,0.0
2025-04-16,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-95.985744,432.9,88,0.011363636363636364,0.0,29.0,38095.2,-0.0025196282996283,0,The Whales,0,0.0
2025-04-17,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-133.41237,456.91,125,0.16,0.48,30.0,57113.75,-0.0023359063272854613,0,The Whales,0,1.0
2025-04-18,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,951.934443,329.3,689,0.43686502177068215,0.4528301886792453,33.0,226887.7,0.004195619431992126,2,The Gamblers,1,1.0
2025-04-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,371.503,317.15,411,0.7226277372262774,0.29683698296836986,32.0,130348.65,0.0028500717115213696,2,The Gamblers,1,0.0
2025-04-20,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-1892.58947,454.32,603,0.4129353233830846,0.4925373134328358,37.0,273954.96,-0.006908396438597059,2,The Gamblers,0,1.0
2025-04-21,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,3434.689308,300.51,97,1.0,0.0,39.0,29149.469999999998,0.1178302489890897,2,The Gamblers,1,1.0
2025-04-23,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2654.14315,524.9,568,0.5915492957746479,0.3855633802816901,72.0,298143.2,0.00890224278132119,2,The Gamblers,1,1.0
2025-04-24,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1867.252909,406.52,680,0.48970588235294116,0.5088235294117647,63.0,276433.6,0.0067547972062730445,2,The Gamblers,1,1.0
2025-04-25,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1969.39321,510.94500000000005,330,0.12121212121212122,0.4909090909090909,60.0,168611.85,0.011680040341174123,0,The Whales,1,0.0
2025-04-26,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,-4648.8710550000005,60.54,338,0.0,0.0,65.0,20462.52,-0.22718956682754618,0,The Whales,0,0.0
2025-04-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,0.0,489.96,67,0.0,1.0,61.0,32827.32,0.0,0,The Whales,0,1.0
